t,X,Y,status
0.00,1.200,0.000,1
0.60,0.000,0.000,0
2.74,0.000,0.000,0
4.81,0.004,0.000,0
6.09,0.004,0.000,0
8.01,0.004,0.000,0
10.02,0.004,0.000,0
12.01,0.013,0.004,0
14.46,-0.018,0.004,0
16.10,-0.018,0.004,0
18.25,-0.018,0.004,0
20.02,0.026,0.004,0
22.04,0.026,0.004,0
24.15,-0.001,0.000,0
26.03,-0.001,0.000,0
28.07,-0.001,0.000,0
30.03,-0.013,0.000,0
32.04,-0.013,0.000,0
34.11,0.022,0.000,0
36.04,0.022,0.000,0
38.03,0.022,0.000,0
40.07,-0.004,0.000,0
42.04,-0.004,0.000,0
44.02,-0.017,0.000,0
46.12,-0.017,0.000,0
48.08,-0.017,0.000,0
50.04,0.021,0.000,0
52.02,0.021,0.000,0
54.05,-0.001,0.000,0
56.08,-0.001,0.000,0
58.08,-0.001,0.000,0
60.05,-0.004,0.004,0
62.05,-0.004,0.004,0
64.08,-0.005,0.000,0
66.06,-0.005,0.000,0
68.02,-0.005,0.000,0
70.08,0.026,0.000,0
72.07,0.026,0.000,0
74.03,-0.013,0.000,0
76.09,-0.013,0.000,0
78.06,-0.013,0.000,0
80.03,0.049,0.000,0
82.09,0.049,0.000,0
84.06,0.003,0.000,0
86.10,0.003,0.000,0
88.07,0.003,0.000,0
90.09,-0.019,0.000,0
106.97,0.031,0.000,0
124.49,-0.026,0.000,0
126.07,-0.026,0.000,0
128.13,-0.026,0.000,0
130.01,0.008,0.000,0
132.26,0.008,0.000,0
134.01,0.004,0.000,0
136.15,0.004,0.000,0
138.09,0.004,0.000,0
140.04,-0.009,0.000,0
142.06,-0.009,0.000,0
144.03,0.014,0.000,0
146.01,0.014,0.000,0
148.04,0.014,0.000,0
150.00,0.074,0.000,0
152.09,0.074,0.000,0
154.06,0.031,0.000,0
156.01,0.031,0.000,0
158.09,0.031,0.000,0
160.03,0.014,0.000,0
162.09,0.014,0.000,0
164.08,0.009,0.000,0
166.02,0.009,0.000,0
168.09,0.009,0.000,0
