Initial Measurement: 0.00,0.825,0.000

t,X,Y,status
0.00,0.825,0.000,1
0.18,0.000,0.000,0
2.27,-0.000,0.000,0
4.08,-0.000,0.000,0
6.02,-0.000,0.000,0
8.08,-0.000,0.000,0
10.04,-0.000,0.000,0
12.10,-0.044,0.000,0
14.10,-0.044,0.000,0
16.08,-0.044,0.000,0
18.04,-0.044,0.000,0
20.09,-0.044,0.000,0
22.06,-0.005,0.000,0
24.01,-0.005,0.000,0
26.01,-0.005,0.000,0
28.25,0.004,0.000,0
30.30,0.004,0.000,0
32.15,-0.066,0.000,0
34.02,-0.066,0.000,0
36.09,-0.066,0.000,0
38.07,0.000,0.000,0
40.23,0.000,0.000,0
42.32,2.206,0.232,0
44.17,2.206,0.232,0
46.24,-0.031,0.000,0
48.21,-0.031,0.000,0
50.29,-0.031,0.000,0
52.26,-0.026,0.000,0
54.21,-0.026,0.000,0
56.18,-0.039,0.000,0
58.26,-0.039,0.000,0
60.21,-0.039,0.000,0
62.18,-0.083,0.000,0
64.26,-0.083,0.000,0
66.21,-0.031,0.000,0
68.20,-0.031,0.000,0
70.16,-0.031,0.000,0
72.24,-0.052,0.000,0
74.21,-0.052,0.000,0
76.16,-0.009,0.000,0
78.24,-0.009,0.000,0
80.21,-0.009,0.000,0
82.16,-0.013,0.000,0
84.24,-0.013,0.000,0
86.21,-0.017,0.000,0
88.18,-0.017,0.000,0
90.24,-0.017,0.000,0
92.22,-0.009,0.000,0
94.18,-0.009,0.000,0
96.27,-0.013,0.000,0
98.22,-0.013,0.000,0
100.18,-0.013,0.000,0
102.27,-0.053,0.000,0
104.23,-0.053,0.000,0
106.18,-0.040,0.000,0
108.27,-0.040,0.000,0
110.23,-0.040,0.000,0
112.20,-0.031,0.000,0
114.27,-0.031,0.000,0
116.24,-0.031,0.000,0
118.02,-0.035,0.000,0
120.07,-0.035,0.000,0
122.24,-0.040,0.000,0
124.22,-0.040,0.000,0
126.30,-0.010,0.000,0
128.26,-0.010,0.000,0
130.22,-0.010,0.000,0
132.29,-0.014,0.000,0
134.27,-0.014,0.000,0
136.22,-0.013,0.000,0
138.30,-0.013,0.000,0
140.27,-0.013,0.000,0
142.23,-0.018,0.000,0
144.31,-0.018,0.000,0
146.28,-0.031,0.000,0
148.23,-0.031,0.000,0
150.31,-0.031,0.000,0
152.28,0.031,0.000,0
154.25,0.031,0.000,0
156.33,-0.018,0.000,0
158.28,-0.018,0.000,0
160.25,-0.018,0.000,0
162.22,7.395,-2.119,0
164.30,7.395,-2.119,0
166.25,1.351,0.921,0
168.22,1.351,0.921,0
170.09,1.351,0.921,0
172.27,1.421,0.934,0
174.05,1.421,0.934,0
176.05,1.421,0.934,0
178.08,1.420,0.986,0
180.08,1.420,0.986,0
182.03,1.420,0.986,0
184.04,1.420,0.973,0
186.05,1.420,0.973,0
188.02,1.420,1.026,0
190.10,1.420,1.026,0
192.06,1.421,0.995,0
194.04,1.421,0.995,0
196.00,1.421,0.995,0
198.08,1.420,0.986,0
200.03,1.420,0.986,0
202.10,1.420,0.951,0
204.08,1.420,0.951,0
206.03,1.420,0.951,0
208.09,1.415,1.008,0
210.07,1.415,1.008,0
212.05,1.420,0.969,0
214.00,1.420,0.969,0
216.07,1.420,0.969,0
218.05,1.420,1.048,0
220.02,1.420,1.048,0
222.09,1.420,0.986,0
224.06,1.420,0.986,0
226.10,1.420,0.986,0
228.08,1.420,0.973,0
230.05,1.420,0.973,0
232.03,1.420,0.978,0
234.08,1.420,0.978,0
236.05,1.420,0.978,0
238.03,1.421,0.973,0
240.09,1.421,0.973,0
242.06,1.420,0.986,0
244.05,1.420,0.986,0
246.00,1.420,0.986,0
248.08,1.413,0.959,0
250.03,1.413,0.959,0
252.01,1.419,0.990,0
254.08,1.419,0.990,0
256.04,1.419,0.990,0
258.02,1.419,0.981,0
260.08,1.419,0.981,0
262.06,1.413,0.972,0
264.03,1.413,0.972,0
266.09,1.413,0.972,0
268.06,1.420,1.021,0
270.03,1.420,1.021,0
272.01,1.421,1.022,0
274.06,1.421,1.022,0
276.03,1.421,1.022,0
278.01,1.420,1.052,0
280.07,1.420,1.052,0
282.03,1.420,0.978,0
284.01,1.420,0.978,0
286.07,1.420,0.978,0
288.04,1.420,1.013,0
290.02,1.420,1.013,0
292.08,1.412,1.000,0
294.05,1.412,1.000,0
296.02,1.412,1.000,0
298.10,1.420,0.982,0
300.06,1.420,0.982,0
302.03,0.338,0.561,0
304.09,0.338,0.561,0
306.06,0.338,0.561,0
308.04,0.852,-0.223,0
310.10,0.852,-0.223,0
312.07,0.539,0.000,0
314.04,0.539,0.000,0
316.10,0.539,0.000,0
318.07,0.447,0.000,0
320.04,0.447,0.000,0
322.02,0.544,0.000,0
324.07,0.544,0.000,0
326.05,0.544,0.000,0
328.02,0.579,0.000,0
330.09,0.579,0.000,0
332.05,0.587,0.000,0
334.02,0.587,0.000,0
336.09,0.587,0.000,0
338.05,0.548,0.000,0
340.03,0.548,0.000,0
342.01,0.592,0.000,0
344.06,0.592,0.000,0
346.03,0.592,0.000,0
348.00,0.584,0.000,0
350.01,0.584,0.000,0
352.08,0.579,0.000,0
354.04,0.579,0.000,0
356.08,0.579,0.000,0
358.07,0.579,0.000,0
360.05,0.579,0.000,0
362.08,0.588,0.000,0
364.06,0.588,0.000,0
366.04,0.588,0.000,0
368.10,0.553,0.000,0
370.06,0.553,0.000,0
372.05,0.579,0.000,0
374.10,0.579,0.000,0
376.08,0.579,0.000,0
378.05,0.583,0.000,0
380.02,0.583,0.000,0
382.10,0.570,0.000,0
384.08,0.570,0.000,0
386.02,0.570,0.000,0
388.00,0.570,0.000,0
390.07,0.570,0.000,0
392.02,3.648,0.393,0
394.10,3.648,0.393,0
396.07,3.648,0.393,0
398.03,1.416,1.052,0
400.01,1.416,1.052,0
402.06,1.618,0.763,0
404.05,1.618,0.763,0
406.02,1.618,0.763,0
408.08,1.420,1.082,0
410.05,1.420,1.082,0
412.02,1.420,0.991,0
414.09,1.420,0.991,0
416.05,1.420,0.991,0
418.01,1.420,0.977,0
420.10,1.420,0.977,0
422.07,1.420,1.004,0
424.04,1.420,1.004,0
426.09,1.420,1.004,0
428.06,1.420,1.039,0
430.03,1.420,1.039,0
432.00,1.420,1.026,0
434.07,1.420,1.026,0
436.04,1.420,1.026,0
438.01,1.421,1.000,0
440.08,1.421,1.000,0
442.04,1.420,0.986,0
444.01,1.420,0.986,0
446.08,1.420,0.986,0
448.04,1.420,1.026,0
450.01,1.420,1.026,0
452.08,1.420,1.035,0
454.05,1.420,1.035,0
456.02,1.420,1.035,0
458.09,1.421,1.039,0
460.07,1.421,1.039,0
462.04,1.421,1.004,0
464.10,1.421,1.004,0
466.06,1.421,1.004,0
468.04,1.419,0.995,0
470.01,1.419,0.995,0
472.06,1.420,1.004,0
474.05,1.420,1.004,0
476.01,1.420,1.004,0
478.08,1.420,0.977,0
480.05,1.420,0.977,0
482.01,1.415,1.008,0
484.09,1.415,1.008,0
486.05,1.415,1.008,0
488.04,1.420,0.986,0
490.09,1.420,0.986,0
492.07,1.420,1.004,0
494.04,1.420,1.004,0
496.10,1.420,1.004,0
498.08,1.421,1.017,0
500.05,1.421,1.017,0
502.00,1.420,0.990,0
504.07,1.420,0.990,0
506.05,1.420,0.990,0
508.00,1.420,0.995,0
510.07,1.420,0.995,0
512.05,1.420,0.986,0
514.03,1.420,0.986,0
516.08,1.420,0.986,0
518.05,1.421,0.960,0
520.06,1.421,0.960,0
522.16,1.421,0.986,0
524.00,1.421,0.986,0
526.04,1.421,0.986,0
528.05,1.420,0.956,0
530.08,1.420,0.956,0
532.05,1.420,1.039,0
534.01,1.420,1.039,0
536.01,1.420,1.039,0
538.07,1.420,1.017,0
542.07,1.420,1.021,0
544.06,1.420,1.021,0
546.09,1.420,1.021,0
548.05,1.421,1.013,0
550.02,1.421,1.013,0
552.02,1.416,1.008,0
554.03,1.416,1.008,0
556.02,1.416,1.008,0
558.02,1.420,1.017,0
560.01,1.420,1.017,0
562.02,1.421,1.013,0
564.09,1.421,1.013,0
566.06,1.421,1.013,0
568.02,1.416,1.026,0
570.07,1.416,1.026,0
572.07,1.421,1.000,0
574.03,1.421,1.000,0
576.00,1.421,1.000,0
578.05,1.421,0.951,0
580.03,1.421,0.951,0
582.10,1.421,0.969,0
584.03,1.421,0.969,0
586.04,1.421,0.969,0
588.04,1.420,0.999,0
590.09,1.420,0.999,0
592.04,1.420,1.039,0
594.01,1.420,1.039,0
596.05,1.420,1.039,0
598.03,1.420,1.008,0
600.01,1.420,1.008,0
602.09,1.420,1.026,0
604.00,1.420,1.026,0
606.07,1.420,1.026,0
608.09,1.418,1.003,0
610.06,1.418,1.003,0
612.04,1.420,1.026,0
614.09,1.420,1.026,0
616.06,1.420,1.026,0
618.03,1.420,0.986,0
620.08,1.420,0.986,0
622.02,1.421,1.026,0
624.04,1.421,1.026,0
626.04,1.421,1.026,0
628.07,1.421,1.013,0
630.05,1.421,1.013,0
632.02,1.420,1.013,0
634.07,1.420,1.013,0
636.04,1.420,1.013,0
638.00,1.421,1.013,0
640.09,1.421,1.013,0
642.07,1.420,1.043,0
644.02,1.420,1.043,0
646.10,1.420,1.043,0
648.06,1.421,1.022,0
650.02,1.421,1.022,0
652.10,1.421,1.008,0
654.01,1.421,1.008,0
656.02,1.421,1.008,0
658.09,1.421,1.022,0
660.08,1.421,1.022,0
662.05,1.416,0.973,0
664.02,1.416,0.973,0
666.08,1.416,0.973,0
668.05,1.420,1.026,0
670.02,1.420,1.026,0
672.09,1.421,1.008,0
674.05,1.421,1.008,0
676.03,1.421,1.008,0
678.05,1.421,0.991,0
680.06,1.421,0.991,0
682.08,1.416,1.030,0
684.02,1.416,1.030,0
686.06,1.416,1.030,0
688.03,1.420,0.964,0
690.01,1.420,0.964,0
692.07,1.420,0.973,0
694.06,1.420,0.973,0
696.27,1.420,0.973,0
698.08,1.421,1.004,0
700.12,1.421,1.004,0
702.27,1.421,1.004,0
704.56,1.421,1.013,0
708.05,1.421,1.035,0
710.03,1.421,1.035,0
712.07,1.420,0.977,0
714.04,1.420,0.977,0
716.00,1.420,0.977,0
718.04,1.420,1.026,0
720.10,1.420,1.026,0
722.03,1.420,0.964,0
724.09,1.420,0.964,0
726.07,1.420,0.964,0
728.01,1.420,1.013,0
730.09,1.420,1.013,0
732.06,1.420,1.026,0
734.13,1.420,1.026,0
736.36,1.420,0.991,0
738.02,1.420,0.991,0
740.09,1.420,0.991,0
742.10,1.420,1.004,0
